Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0063402,-0.10189,-6.192E-17,0,0,0,90.964,14.149,-5.8195E-16,-1.2902E-16,2.3598,1.0374E-15,12.412,0,0,0,0,0,0,package://switch/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://switch/meshes/base_link.STL,,switch base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
switch_link,0.25,-0.065703,-2.5956E-16,0,0,0,13.17,0.06305,0,0,0.31848,-3.0291E-18,0.29333,0,0,0,0,0,0,package://switch/meshes/switch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://switch/meshes/switch_link.STL,,switch-1,Origin_switch_link_joint,Axis_switch_link_joint,switch_link_joint,prismatic,-0.4,0,0.03487,1.5708,0,0,base_link,0,0,1,0,0,-0.43452,0,,,0.001,0.1,,,,
